"filename", "language", "Properties", "Markdown", "Python", "Java", "Scala", "Go", "XML", "Log", "C++", "HTML", "C#", "JSON", "comment", "blank", "total"
"c:\Users\where\Documents\github\code\algorithm\bitManupulation\bit.md", "Markdown", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6
"c:\Users\where\Documents\github\code\algorithm\bitManupulation\subsetOfState.py", "Python", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"c:\Users\where\Documents\github\code\algorithm\codesnippet\rangeDP.md", "Markdown", 0, 114, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 154
"c:\Users\where\Documents\github\code\algorithm\dfs\dfsSearchVistedNodeValue.py", "Python", 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 1, 32
"c:\Users\where\Documents\github\code\algorithm\dsu\dsu.py", "Python", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5, 23
"c:\Users\where\Documents\github\code\algorithm\etcs\linkedlist.md", "Markdown", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 25
"c:\Users\where\Documents\github\code\algorithm\graph.md", "Markdown", 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 50
"c:\Users\where\Documents\github\code\algorithm\graph\2matchproblem.md", "Markdown", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"c:\Users\where\Documents\github\code\algorithm\graph\q2math.py", "Python", 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 32
"c:\Users\where\Documents\github\code\algorithm\in-out-tree\inouttree.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 45, 0, 0, 0, 3, 13, 61
"c:\Users\where\Documents\github\code\algorithm\lca-tarjan\lca.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 7, 9, 57
"c:\Users\where\Documents\github\code\algorithm\longestIncreseSequence\LIS.md", "Markdown", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 23
"c:\Users\where\Documents\github\code\algorithm\mathA\circle.py", "Python", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 20
"c:\Users\where\Documents\github\code\algorithm\mathA\combination.py", "Python", 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 4, 29
"c:\Users\where\Documents\github\code\algorithm\mathA\combination2.py", "Python", 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 30
"c:\Users\where\Documents\github\code\algorithm\mathA\matric.md", "Markdown", 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 29
"c:\Users\where\Documents\github\code\algorithm\prime\linelyprime.py", "Python", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 23
"c:\Users\where\Documents\github\code\algorithm\prime\prime.py", "Python", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10
"c:\Users\where\Documents\github\code\algorithm\pythonLib\combinationAndpermutation.md", "Markdown", 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 26
"c:\Users\where\Documents\github\code\algorithm\pythonTimeout\timout.md", "Markdown", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 8
"c:\Users\where\Documents\github\code\algorithm\quickPow\inv.py", "Python", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 6, 30
"c:\Users\where\Documents\github\code\algorithm\quickPow\quickPow.py", "Python", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13
"c:\Users\where\Documents\github\code\algorithm\segmentTree\segTreeMin.py", "Python", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 30
"c:\Users\where\Documents\github\code\algorithm\segmentTree\segmentTree.py", "Python", 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 69, 41, 162
"c:\Users\where\Documents\github\code\algorithm\segmentTree\segmentTreeOnlyCode.py", "Python", 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 41, 133
"c:\Users\where\Documents\github\code\algorithm\segmentTree\segmentTreeWithFuction.py", "Python", 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 10, 68
"c:\Users\where\Documents\github\code\algorithm\segmentTree\segmentTreeWithMerge.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 52, 0, 0, 0, 10, 5, 67
